x,mND1,mND2,mND3,mND4,mND5,mND6,mND7,mND8,mND9,mND10,mHFD1,mHFD2,mHFD3,mHFD4,mHFD5,mHFD6,mHFD7,mHFD8,mHFD9,mHFD10
OTU1,835,1059,677,643,43,37,2614,1575,551,117,33,0,665,1971,2,751,545,14,1806,608
OTU10,10,47,0,101,0,7,2,27,2,1,347,445,233,83,286,99,280,286,151,46
OTU100,35,33,31,45,17,83,20,18,63,23,0,0,0,0,0,0,0,0,0,0
OTU101,2,3,15,3,0,5,4,3,6,9,0,0,0,0,0,0,0,0,0,0
OTU102,4,8,12,3,6,15,12,7,23,4,7,2,9,6,7,33,4,3,1,24
OTU103,1,80,1,25,1,12,1,35,10,4,127,40,5,10,7,15,21,46,28,11
OTU104,3,0,0,2,0,2,0,0,0,0,4,9,2,1,1,1,11,8,1,0
OTU105,1,1,0,7,1,0,0,12,14,0,4,2,14,16,3,0,29,30,4,10
OTU106,0,9,19,1,17,25,4,1,1,0,0,0,0,0,0,0,3,0,0,0
OTU107,0,5,0,36,2,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0
OTU108,58,20,0,4,0,87,4,5,3,1,0,0,0,0,0,0,0,0,0,0
OTU109,0,2,2,13,1,6,1,2,9,2,0,0,0,0,0,0,0,0,0,0
OTU11,6,37,12,74,6,62,2,11,2,4,191,101,465,37,54,155,104,122,7,138
OTU110,10,15,6,18,5,64,4,28,25,6,10,9,9,1,16,13,8,18,16,16
OTU111,0,1,0,0,0,2,0,3,3,0,1,0,1,0,0,3,4,14,3,11
OTU112,0,1,0,0,0,1,0,0,1,0,12,1,8,5,4,16,12,13,1,8
OTU113,2,0,0,3,1,7,3,5,1,12,3,2,2,1,1,9,7,2,2,10
OTU114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,60,0,24
OTU115,15,3,0,3,29,1,6,7,8,4,0,0,0,0,0,0,0,0,0,0
OTU116,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,9,0,0
OTU117,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,42,6,0,0,0
OTU118,1,2,0,6,0,3,0,8,0,1,36,17,0,0,5,0,6,1,2,0
OTU119,0,3,0,1,0,2,0,11,1,0,3,6,0,0,1,4,9,25,8,6
OTU12,0,0,3,0,2,3,0,1,0,0,132,269,164,0,959,139,650,1018,210,1156
OTU120,1,5,3,2,6,12,9,25,2,1,0,0,0,0,0,0,2,0,3,7
OTU121,0,3,0,1,1,1,0,0,0,0,0,0,2,0,0,0,4,8,0,1
OTU122,0,0,0,0,2,20,0,5,2,0,0,0,0,2,0,0,0,7,0,0
OTU123,0,1,5,3,14,4,2,3,0,9,0,0,2,1,0,0,0,1,0,2
OTU124,8,0,26,3,2,0,0,3,1,0,0,0,0,0,0,0,1,0,0,6
OTU125,1,2,1,1,1,1,7,4,30,1,0,0,0,0,0,0,1,0,0,0
OTU126,1,24,1,11,1,14,2,7,4,3,89,29,9,35,18,6,29,28,59,42
OTU127,3,25,4,16,5,22,3,16,17,7,57,39,10,8,32,18,35,52,17,23
OTU128,0,0,0,0,0,0,0,0,0,0,12,0,0,22,1,6,0,0,0,0
OTU129,1,0,56,0,0,0,23,0,0,0,1,0,13,2,0,14,0,0,0,0
OTU13,18,14,1,0,6,4,32,11,12,6,0,631,10,19,0,6,0,0,0,0
OTU130,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,5,0,6,2
OTU131,4,5,1,34,1,14,2,28,3,2,13,6,1,0,1,0,0,9,1,4
OTU132,0,1,0,2,0,0,0,0,0,0,4,0,7,0,0,2,4,45,0,24
OTU133,2,33,4,11,6,5,6,32,26,4,0,0,1,5,0,0,1,0,0,2
OTU134,7,0,7,5,4,0,4,3,14,18,0,0,0,0,0,0,0,0,0,0
OTU135,23,0,2,9,3,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
OTU136,1,3,0,7,0,30,0,14,2,0,0,0,0,0,0,0,0,0,0,0
OTU137,0,0,2,1,2,0,2,1,13,8,0,0,0,0,0,0,0,0,0,0
OTU138,0,0,0,0,0,4,0,2,12,0,0,0,0,0,0,0,0,0,0,0
OTU139,1,1,0,9,1,3,0,2,1,0,2,3,1,0,5,2,10,12,6,3
OTU14,0,10,1,0,0,7,0,7,1,0,231,0,404,0,1921,1145,1037,119,756,589
OTU140,0,4,0,1,0,0,0,4,0,1,26,11,0,7,0,11,23,5,22,4
OTU141,0,0,0,0,0,0,0,0,0,0,4,0,38,0,0,4,18,4,0,23
OTU142,17,1,1,1,0,39,0,3,1,0,0,0,0,0,0,0,0,0,0,0
OTU143,5,0,0,1,6,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0
OTU144,1,0,5,5,0,0,3,6,2,6,0,0,0,0,0,0,0,0,0,0
OTU145,0,0,0,0,0,1,0,0,0,0,6,16,2,8,3,8,11,8,1,3
OTU146,1,0,0,0,0,0,3,4,4,0,3,23,1,6,0,2,2,4,1,1
OTU147,0,0,0,0,0,0,2,1,0,0,29,3,10,21,0,3,0,2,0,2
OTU148,0,1,0,3,0,0,1,3,0,0,0,0,6,10,8,34,34,33,0,7
OTU149,0,0,0,9,2,0,0,3,1,1,0,1,3,2,3,10,1,1,0,1
OTU15,2,25,0,23,17,35,23,44,33,16,0,126,75,0,106,75,62,88,49,100
OTU150,0,0,0,1,0,0,1,1,3,0,0,0,7,0,0,0,5,2,1,1
OTU151,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
OTU152,3,1,0,24,0,2,1,0,0,1,0,0,0,0,2,0,5,8,1,0
OTU153,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,68,12,3
OTU154,0,0,1,2,0,1,1,3,0,4,0,0,0,0,0,0,0,0,1,2
OTU155,0,9,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0
OTU156,52,15,2,0,1,21,0,13,4,3,1,0,1,0,1,3,3,0,0,1
OTU157,24,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
OTU158,1,0,1,3,2,2,1,1,9,7,0,0,0,0,0,0,0,0,0,0
OTU159,0,0,0,3,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0
OTU16,26,50,76,199,21,52,42,61,26,11,5,2,1,1,2,3,6,5,1,1
